url,manufacturer,model,year_first,hull_material,location,beam_width,keel_type,engine_type,engine_manufacturer,engine_model,engine_fuel,engine_power,fuel_capacity,water_capacity,hull_shape,images-src,description,title
https://www.boats.com/power-boats/2022-sylvan-x3-clz-mirage-tritoon-in-stock-8014654/,Sylvan,X3 CLZ Mirage Tritoon - In Stock,2022,Aluminum,"Bloomsburg, Pennsylvania",null,Other,null,null,Single Outboard,Other,null,null,null,Other,,"<p>2022 Sylvan X3 CLZ Mirage Tritoon - IN STOCK,
<br>SPX Tritoon, Coastal Pkg, Power Bimini, Underskin, High Back Helm Chair, Lighted Cup Holders, Mood Lights, Ski Pyon, 60 gal Fuel Tank, Stern Rail Enclosure Pkg - Great Tritoon DealSPECIFICATIONSMax Horsepower;250 hpBeam;102 inDry Weight;2425 lbsMax Persons;12Fuel Capacity;60 galLength;22''10'Tube Diameter;25 inTube Gauge;.100 in</p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Additional Equipment</h4>
<p>SPX Tritoon, Coastal Pkg, Power Bimini, Underskin, High Back Helm Chair, Lighted Cup Holders, Mood Lights, Ski Pyon, 60 gal Fuel Tank, Stern Rail Enclosure Pkg - Great Tritoon DealSPECIFICATIONSMax Horsepower;250 hpBeam;102 inDry Weight;2425 lbsMax Persons;12Fuel Capacity;60 galLength;22''10'Tube Diameter;25 inTube Gauge;.100 in</p>
<h4>Total Power</h4>
<p>150.0 hp</p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Sylvan X3 CLZ Mirage Tritoon - In Stock
https://www.boats.com/power-boats/2022-bayliner-18-vr4-7968824/,Bayliner,18-VR4,2022,Fiberglass,"Walworth, Wisconsin",null,Other,null,null,MERCRUISER/MERCURY ECT-4.5L/MPIA1,Other,null,null,null,Other,,"<p>Sale Price: $36,614
<br>All Sale and/or Clearance Prices include all rebates and incentives.
<br>
<br>
<br>
<span>SEE THIS BOAT IN ACTION &gt;&gt; </span>Model Video 1</p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Standard Features</h4>
<p></p><ul></ul><p></p>
<h4>Installed Options</h4>
<p></p><ul>
<li>Engine : MERCRUISER/MERCURY ECT-4.5L/MPIA1</li>
<li>General : Automatic Bilge Pump</li>
<li>General : Bimini Top with Boot</li>
<li>General : Blue Hull Sides w/White Bottom</li>
<li>General : Boot Stripe</li>
<li>General : Bow Speakers</li>
<li>General : Bow Well and Cockpit Cover</li>
<li>General : Digital Depth Indicator</li>
<li>General : ECT-4.5L MPI/A1 200hp</li>
<li>General : Graphite Interior</li>
<li>General : Grey Tape</li>
<li>General : Helm Bucket - Standard</li>
<li>General : Interior Lighting Package</li>
<li>General : Painted Swing Tongue Trailer w/Brakes</li>
<li>General : Rockford Fosgate Stereo</li>
<li>General : Stainless Steel Upgrade Package</li>
<li>General : Windshield w/Opening Center &amp; Side Wings</li>
<li>STOCK# : BL21332</li>
</ul><p></p>
<h4>Description</h4>
<p>Sale Price: $36,614
<br>All Sale and/or Clearance Prices include all rebates and incentives.
<br>
<br>
<br>
<span>SEE THIS BOAT IN ACTION &gt;&gt; </span>Model Video 1</p>
<h4>Total Power</h4>
<p>200.0 hp</p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Bayliner 18-VR4
https://www.boats.com/power-boats/2014-sea-ray-510-7787317/,Sea Ray,510,2014,Fiberglass,"Sarasota, Florida",null,Other,Inboard,Cummins,null,Diesel,null,null,null,Other,,"<p></p><p><strong>I am the original owner. This boat is immaculate !&nbsp;</strong><strong>Any repair over the years was emediatly addressed. I have all new Raymarine Axiom Pro Augmented Reality electronics, Radar, AIS, night/thermal vision&nbsp; &nbsp; Savant sound and video equipment with Bose surround sound. I had an aft joy stick installed to easily back into a slip, along with 5 cameras. She is kept on a lift when in florida. Summer on the Potomac River. See the photos below</strong></p>
<p><strong>I</strong></p><p></p>",Sea Ray 510
https://www.boats.com/power-boats/2021-bennington-23-lsb-7954325/,Bennington,23 LSB,2021,Aluminum,"Madera, California",8 ft 6 in,null,null,Mercury,250L 4S,Gas,250 hp,21.4 gal,null,null,,"<p>2021 Bennington 23 LSB
</p><p>18'-25' pontoon boats loaded with standards plus vast style and option choices.</p>
<p><strong>Features may include:</strong></p>
<p><strong>INTERIOR</strong></p>
<ul>
<li>2 Stainless Steel Rimmed Portable Cupholders</li>
</ul>
<ul>
<li>24 Gallon Fuel Tank, 21.4 Gallon Usable Capacity</li>
</ul>
<ul>
<li>(NEW) Radius Bow Furniture</li>
</ul>
<ul>
<li>Transom Fuel Tank</li>
</ul>
<ul>
<li>Swingback Stern Lounger</li>
</ul>
<ul>
<li>(NEW) Two-Tone Vinyl Furniture</li>
</ul>
<ul>
<li>L Series Furniture and Console</li>
</ul>
<ul>
<li>Horizontal Diamond Pressed Upholstery</li>
</ul>
<ul>
<li>Simtex Vinyl Upholstery</li>
</ul>
<ul>
<li>Woven Vinyl Flooring</li>
</ul>
<ul>
<li>2 USB Charge Station with Volt Meter; 1 USB with Quick Charge 3.0 &amp; 1 USB-C Port</li>
</ul>
<ul>
<li>Duraframe Seat Bases</li>
</ul>
<ul>
<li>Fire Extinguisher</li>
</ul>
<ul>
<li>Pure Comfort Reclining Captain's Chair</li>
</ul>
<ul>
<li>Blue Ice LED Illuminated Kicker Speakers (4)</li>
</ul>
<ul>
<li>2 Chaise Lounges</li>
</ul>
<ul>
<li>Powder Coated Seat Hinges</li>
</ul>
<ul>
<li>Pure-Comfort Reclining Helm Chair with Integrated Headrest</li>
</ul>
<ul>
<li>Stainless Steel Rimmed Cupholders</li>
</ul>
<ul>
<li>Sculpted Woodgrain Trapezoid Table</li>
</ul>
<p><strong>CONSOLE</strong></p>
<ul>
<li>12 Volt Receptacle</li>
</ul>
<ul>
<li>Console Courtesy Light</li>
</ul>
<ul>
<li>Custom Sterling Gauge Package: Fuel, Tachometer &amp; Trim</li>
</ul>
<ul>
<li>Hour Meter</li>
</ul>
<ul>
<li>Locking Side Access Door</li>
</ul>
<ul>
<li>Low Profile Windscreen</li>
</ul>
<ul>
<li>One Piece Fiberglass Console</li>
</ul>
<ul>
<li>Rocker Switches with Dash Mount Breakers</li>
</ul>
<ul>
<li>Sealed Deutsch Connectors</li>
</ul>
<ul>
<li>Zebrawood Slate Dash Accents</li>
</ul>
<ul>
<li>Tilt Steering</li>
</ul>
<ul>
<li>All in One Kicker Stereo System (KMC45)</li>
</ul>
<p><strong>EXTERIOR</strong></p>
<ul>
<li>25"" Pontoons</li>
</ul>
<ul>
<li>6"" Stainless Steel Cleats</li>
</ul>
<ul>
<li>Anodized Raised Rails</li>
</ul>
<ul>
<li>Docking Lights in ABS Light Housings</li>
</ul>
<ul>
<li>Full Length Extruded Anodized Skirting</li>
</ul>
<ul>
<li>Quick Release 10' Bimini Top with Surlast Embroidered Boot, 1.25"" Frame &amp; Trailering Struts</li>
</ul>
<ul>
<li>Stainless Steel Cleats and Corner Castings</li>
</ul>
<ul>
<li>Stainless Steel Deck Bolts (Fanged Elevator Bolts secured with Stainless Steel Nylock Nut.)</li>
</ul>
<ul>
<li>Streamline Rail System</li>
</ul>
<ul>
<li>Surlast Mooring Cover</li>
</ul>
<ul>
<li>Underdeck Spray Deflectors</li>
</ul>
<ul>
<li>Extended Aft Deck with Curved 4-Step Aluminum Ladder (above deck mount)</li>
</ul>
<ul>
<li>Flush Bow Deck</li>
</ul>
<ul>
<li>18 IN Stern Deck</li>
</ul>
<ul>
<li>Mooring Cover Quick Clips</li>
</ul>
<ul>
<li>Full Height Panels</li>
</ul>
<ul>
<li>Extruded Splash Guards</li>
</ul>
<ul>
<li>Rounded Solid Keels</li>
</ul>
<ul>
<li>.250"" Thick Bow &amp; Stern Cross Channels</li>
</ul><p></p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Disclaimer</h4>
<p>The Company offers the details of this vessel in good faith but cannot guarantee or warrant the accuracy of this information nor warrant the condition of the vessel. A buyer should instruct his agents, or his surveyors, to investigate such details as the buyer desires validated. This vessel is offered subject to prior sale, price change, or withdrawal without notice.</p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Bennington 23 LSB
https://www.boats.com/power-boats/1990-chris-craft-seahawk-215-wac-7988902/,Chris-Craft,Seahawk 215 WAC,1990,Fiberglass,"Beaverton, Oregon",8 ft,Other,Inboard,Mercruiser 350,350ci,Gas,280 hp,"1
x
80 gal",null,Other,,"<p></p><p>THE TOTAL BOATING EXPERIENCE IN ONE PACKAGE ! ! TURN KEY OPERATION. Take advantage of 40+ years of small craft knowledge.&nbsp;&nbsp;&nbsp; SOLID GLASS QUALITY BUILT CLASSIC BOAT FOR ALL OCCASSIONS.&nbsp;&nbsp; Whether it's salmon at Bouy Ten, crabbing at Trestle Bay, boat camping the Columbia Islands,&nbsp; sturgeon in the deep holes, or water skiing the Willamette, THIS BOAT DOES WAS BUILT FOR IT.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ALWAYS TRAILERED&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ALWAYS&nbsp; WASHED DOWN&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ALWAYS&nbsp; DESALTED&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; LICENSED THROUGH 2022&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; LAST COAST GAURD INSPECTION 2018</p><p></p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Galley Equipment</h4>
<p></p><p><strong>SS grill</strong>. propane,&nbsp; fire extinguisher,</p><p></p>
<h4>Mechanical Equipment</h4>
<p></p><p>350ci <strong>280HP,</strong> new <strong>Holley 650cfm</strong>, oil changed, tuned up,&nbsp; <strong>OMC outdrive</strong> with <strong>power tilt</strong> and<strong> trim</strong>, <strong>power steering</strong>,&nbsp; up lock struts,&nbsp; <strong>3 props- 14in diam, three bladed, SS 17*,&nbsp; AL 15*,&nbsp; AL 18*,</strong>&nbsp;&nbsp;<strong> cavitation /planing plate</strong>,&nbsp; <strong>electric</strong> and <strong>ED fuel pum</strong>ps,&nbsp; bilge blower,&nbsp;&nbsp; 2 bilge pumps,&nbsp; &nbsp; &nbsp; <strong>9.9 Mercury outboard, on adjustable bracket, conneted to main steering, spare prop,&nbsp;&nbsp; 2-5gl fuel tanks,&nbsp; &nbsp; DUAL RV Batteries with isolator. &nbsp; &nbsp;&nbsp; HYDRAULIC TRIM TABS </strong></p><p></p>
<h4>Deck and Hull Equipment</h4>
<p></p><p>ANCHOR LOCKER-&nbsp; Large fluke <strong>anchor with 50ft of 1/2in galv. chain rode,&nbsp; 200ft anchor line,&nbsp; Anchor Bouy,&nbsp; Teak bowsprit</strong> with <strong>anchor roller</strong> and cleats.&nbsp;<strong> SS bow and side rails.</strong>&nbsp; <strong>Fendors and lines.</strong>&nbsp; 7 rail mounted<strong> rod holder</strong>s,&nbsp; <strong>Rocket Launcher,&nbsp;</strong>&nbsp; Two<strong> fish boxes</strong>, one <strong>bait tan</strong>k.&nbsp; Auto scuppers and drains.&nbsp; <strong>80gl fuel tank</strong>,&nbsp; two stern Scotty down rigger mounts,&nbsp;<strong> two bilge pumps</strong>,&nbsp;&nbsp;&nbsp; Teak 70/30<strong> Swim Deck</strong> with 3 Step SS teloscopic ladder.&nbsp; <strong>Towing cleat</strong> on stern. &nbsp; <strong>Cockpit Lights</strong></p><p></p>
<h4>Accommodations</h4>
<p></p><p>V-Berth,&nbsp;<strong> sleeps tw</strong>o, sleeping pads, stowage, <strong>stereo,&nbsp;</strong> <strong>cabin lights,</strong> <strong>12v power outlet</strong>.&nbsp; Porta Potty, &nbsp; Seats six.&nbsp; Two<strong> captains chairs.&nbsp;&nbsp;&nbsp; Convertible top, side curtains, camper top </strong>(need replacement,&nbsp; consider T-top)</p><p></p>
<h4>Additional Equipment</h4>
<p></p><p>1991 EZ LOADER TRAILER,&nbsp; <strong>dual axle</strong>,<strong> new tires</strong>,&nbsp;<strong> new brake cylinders, and shoes</strong>.&nbsp;<strong> BIG FOOT</strong> jack.&nbsp; <strong>Spare Tire</strong> and <strong>Mount</strong>.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Three <strong>crab pots</strong> with lines and floats,&nbsp; trhee <strong>crab rings</strong> with lines and floats,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong> Skis with ropes</strong>.&nbsp;&nbsp; 6+ assorted<strong> Life Jackets,</strong>&nbsp;&nbsp; Towing Cover (needs repair).&nbsp; Spare parts.&nbsp; Horse trough for home testing/tuning at power</p><p></p>
<h4>Navigation Systems</h4>
<p></p><p>LOWRANCE:&nbsp;&nbsp; <strong>GPS,&nbsp; DEPTH,&nbsp; FISH FINDER.&nbsp;&nbsp; VHF WITH 8FT ANTENNA, &nbsp;&nbsp;&nbsp; LIGHTED INSTRUMENTS--&nbsp; COMPASS,&nbsp; TACH,&nbsp; SPEEDO,&nbsp; FUEL,&nbsp; VOLTAGE,&nbsp; TRIM CONTROL, etc.&nbsp; Runnig Lights, Anchor Lights. &nbsp; &nbsp;</strong></p><p></p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Chris-Craft Seahawk 215 WAC
https://www.boats.com/power-boats/2022-regal-33-express-express-cruiser-7930607/,Regal,33 Express - Express Cruiser,2022,Fiberglass,"Austin, Texas",null,Other,null,null,Twin I/O,Other,null,null,null,Other,,"<p>2022 Regal 33 Express - Express Cruiser,
<br>2022 Regal 33 Express - Coming Soon!!!*Exterior Color: Mediterranean Blue Hull Color, Black Bottom with Black Painted Bottom, White Bootstripe, Mediterranean Blue Deck Stripe.*Interior Primary Color: TitaniumOptions:*Hard Top w/ no sunroof*Underwater Power Platform*Aft Cockpit Electric Sunshade for Hard Top*Electric Grill*Cockpit Refrigerator*Volvo 12' Glass Cockpit &amp; Auto Pilot*Stereo Performance &amp; Lighting Package*Television-Cockpit*Underwater lighting-blue*Anchor Windlass- all chain*Foredeck Sunpad*Remote Control Spotlight*Gas Vapor Detector*Cruise Package*Air Conditioning*Generator: Gas 110V*Cockpit Seagrass Matt*SeaDek Swim Platform</p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Additional Equipment</h4>
<p>2022 Regal 33 Express - Coming Soon!!!*Exterior Color: Mediterranean Blue Hull Color, Black Bottom with Black Painted Bottom, White Bootstripe, Mediterranean Blue Deck Stripe.*Interior Primary Color: TitaniumOptions:*Hard Top w/ no sunroof*Underwater Power Platform*Aft Cockpit Electric Sunshade for Hard Top*Electric Grill*Cockpit Refrigerator*Volvo 12' Glass Cockpit &amp; Auto Pilot*Stereo Performance &amp; Lighting Package*Television-Cockpit*Underwater lighting-blue*Anchor Windlass- all chain*Foredeck Sunpad*Remote Control Spotlight*Gas Vapor Detector*Cruise Package*Air Conditioning*Generator: Gas 110V*Cockpit Seagrass Matt*SeaDek Swim Platform</p>
<h4>Total Power</h4>
<p>600.0 hp</p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Regal 33 Express - Express Cruiser
https://www.boats.com/power-boats/2019-crownline-215-ss-7980875/,Crownline,215 SS,2019,Fiberglass,"Fort Myers , Florida",8 ft 6 in,Other,Inboard,Mercruiser,null,Gas,300 hp,"1
x
45 gal",null,Other,,"<p></p><p>The Forte gelcoat (your choice of two colors) perfectly accentuates the sporty silhouette of this boat. Its contours are further enhanced by Crownline’s patented F.A.S.T. Tab hull design which not only embraces the distinctive “sports car” styling of the 215 SS, but also ensures a safe and comfortable ride by increasing planning efficiency and stability in high speed turns. The transom walk through has a filler cushion to preserve the comfortable, full length sun bed area that is so important for relaxing and catching some rays. The super sport cockpit seating features driver and passenger bucket seats with flip-up bolsters. The rear bench seat is hinged to access the finished storage area beneath. The deep hull design is really evident upon entering the spacious bow area. And the seating is exceptionally comfortable, with 16-degree lean backs, pillow top cushioning and STANDARD duty flip-up armrests. There’s tons of storage throughout the boat – even for your wakeboards and skis. They stow away under the portside and starboard bow seats. The 215 SS comes standard with a deluxe Heritage tandem axle trailer with a swing tongue and color matched to your boat.</p><p></p>",Crownline 215 SS
https://www.boats.com/power-boats/2017-malibu-wakesetter-22-vlx-7990532/,Malibu,Wakesetter 22 VLX,2017,Fiberglass,"Mckinney, Texas",8 ft 6 in,Other,Inboard,null,Monsoon 6.2L,Gas,410 hp,"1
x
48 gal",null,Other,https://images.boats.com/resize/1/64/44/396444_20210816173302164_0_XLARGE.jpg?t=1629160388000&w=1200&h=1200,"<p></p><p>We designed the 22 VLX to give you a choice of watersport possibilities. Choose a sport-specific hull: Diamond hull for multisport wakes, or Wake Plus for the absolute best wakes and waves. Either way, there’s room for up to 14, and you can step up to our most powerful engine, the supercharged Monsoon V8, with a massive 575 foot-pounds of torque. The 22 VLX is an eye-catcher on the water and a great handler, with room and fun for the whole family.</p><p></p>",Malibu Wakesetter 22 VLX
https://www.boats.com/power-boats/1996-tiara-yachts-3100-7830578/,Tiara Yachts,3100,1996,Fiberglass,"Lantana Florida, Florida",13 ft,Other,Inboard,Crusaders Fuel Injections,454 Crusaders XLi (Low Hours),Gas,320 hp,"1
x
250 gal","1
x
40 gal",Other,,"<p></p><p>Rare Find !<br>Tiara 31 Open fully load with ALL Options is an excellent family and fishing vessel. If your looking for an all around boat that you can take out fishing for the day or an over night trip to the Bahamas, this may be the perfect boat for you. The 31 open has a full galley that sleeps 4 plus and also has a bathroom with stand up shower, Kitchen has microwave, fridge, sink and 2 burner stove. Cabin also has sitting for 5 and is air conditioned for those hot summer days.</p>
<p>The Tiara 31open is custom and equipped with all the options that includes:</p>
<p>Twin 454 Crusaders XLi Fuel Injection Gas Engines (Low Hours)<br>Freshwater / Heat Exchangers Cooling Systems<br>Battery Charger - Triple 10 amp<br>Depth Sounder<br>Fish Finder w/GPS - Max Depth 3000' (Color screen over 5"")<br>Inverter / Charger - 2000w<br>Radio / 25 Watt VHF - Fixed Mount<br>DVD Player<br>Stereo - AM/FM/CD/Aux Plug-in/Satellite Ready w/4 speakers<br>Bait Tank - 32 Gallon<br>Storage Tackle Center - Six Drawer<br>Transom Live Bait Well<br>Microwave Oven<br>Range - Electric<br>Refrigerator / Freezer 10 cu. ft.<br>Water Heater - 6 Gallon<br>Air Conditioning / Heating System - 12,000btu<br>Anchor Pole (Automatic)<br>300+ 5/8 Foot Anchor Rope<br>Batteries - Dual w/Switch<br>Docking Lights<br>Dual-Prop<br>External Steering - Twin Hydraulic<br>Fire Ext. 100 - 200 cu. ft.<br>Fresh Water Cooling System<br>Generator / 6.5 KW - Gas<br>Propeller / Stainless Steel (3-Blade)<br>Trim Tabs / Hydraulic<br>Vacuum Flush Head - w/Holding Tank &amp; Pump Out<br>Windlass - Boats 31' - 45'</p>
<p>For more information contact<br>Ed at 561-723-4371 or<br>Mike at 561-302- 8668</p>
<p>Serious Inquiries only please,<br>No boat dealers, not looking to list with broker.</p><p></p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Accommodations</h4>
<p></p><p>Sleeps 4 comfortably&nbsp;</p><p></p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Tiara Yachts 3100
https://www.boats.com/sailing-boats/1985-dubbel-jesse-dubois-28-m-ketch-7884900/,Dubbel & Jesse,Dubois 28 m Ketch,1985,Aluminum,"Corsica, Corse, France",24 ft 7 in,centerboard,Inboard,Mercedes,Om 424 V12,Diesel,440 hp,"1
x
2600 liters
(Aluminum)","1
x
5000 liters
(Aluminum)",null,,"<p></p><p><strong>ACOA</strong> was built at Double &amp; Jesse in Germany to a design of Ed Dubois.<br>With an aluminium hull designed to cross oceans, Acoa completed a round-the-world trip and a passage in the Antarctic.</p>
<p>Extremely well maintained, Acoa underwent her first refit in 2005 at Orams Marine in New Zealand.<br>More recently all the paintwork has been redone in Awlgrip and the superstructure repainted in 2017.<br>Acoa's ongoing maintenance programme has also included all electronic systems being upgraded in 2019.<br>A second scheduled world tour has been cancelled due to changed circumstances, but anytime Acoa is ready to go on a long journey again.</p><p></p>
<div class=""show-more"">
<div class=""show-more__content"">
<h4>Declinazione di responsabilità</h4>
<p>La Società pubblica i dettagli di questa imbarcazione in buona fede e non può pertanto avvallare o garantire l'esattezza di tale informazione</p>
</div>
<a data-more=""More…"" data-less=""Show Less…"" class=""show-more__toggle"" href=""javascript:void(0);"">Show More…</a>
</div>",Dubbel & Jesse Dubois 28 m Ketch
