url,model,manufacturer,year_first,hull_type,category,country,price,currency,description,title
https://www.boat-specs.com/sailing/sailboats/beneteau/first-405-deep-draft,First 405,Bénéteau,1985,Monohull,Cruiser-racer sailboat,France,N/A,EUR,"The <strong>First 405</strong> is a 39’4” cruiser-racer sailboat designed by <em>Jean Berret</em> (France). She was built between 1985 and 1988 by <em>Bénéteau</em> (France). The <em>Deep draft</em> version displays a deeper fin allowing a lower center of gravity and extra performance especially upwind.<br><br>The <strong>First 405</strong> is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/first-405-shoal-draft"" title=""First 405 Shoal draft"">Shoal draft</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=967&amp;boat%5B%5D=967a"" title=""see all the versions compared"">see all the versions compared</a>).",First 405 Deep draft
https://www.boat-specs.com/sailing/sailboats/dufour/dufour-460-grand-large,Dufour 460 Grand Large,Dufour,2016,Monohull,Offshore cruising sailboat,France,215 000,EUR,The <strong>Dufour 460 Grand Large</strong> is a 44’4” cruising sailboat designed by <em>Felci Yachts</em> (Italy). She is built since 2016 by <em>Dufour</em> (France).,Dufour 460 Grand Large
https://www.boat-specs.com/sailing/sailboats/bavaria-yachts/bavaria-cruiser-56-shoal-draft,Bavaria Cruiser 56,Bavaria Yachts,2014,Monohull,Offshore cruising sailboat,Germany,N/A,EUR,"The <strong>Bavaria Cruiser 56</strong> is a 53’ cruising sailboat designed by <em>Farr Yacht Design</em> (United States). She was built since 2014 (and now discontinued) by <em>Bavaria Yachts</em> (Germany). The <em>Shoal draft</em> version features a shorter keel to grant access to shallow areas.<br><br>The <strong>Bavaria Cruiser 56</strong> is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/bavaria-yachts/bavaria-cruiser-56-standard"" title=""Bavaria Cruiser 56 Standard"">Standard</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=1243&amp;boat%5B%5D=1243a"" title=""see all the versions compared"">see all the versions compared</a>).",Bavaria Cruiser 56 Shoal draft
https://www.boat-specs.com/sailing/sailboats/jeanneau/sun-fast-3300,Sun Fast 3300,Jeanneau,2019,Monohull,Offshore racer-cruiser sailboat,France,105 000,EUR,"The <strong>Sun Fast 3300</strong> is a 32’10” racer-cruiser sailboat designed by <em>Guillaume Verdier Architecture Navale</em> (France) and <em>Andrieu Yacht Design</em> (France). She is built since 2019 by <em>Jeanneau</em> (France). She&nbsp;has&nbsp;been&nbsp;awarded ""<em>2020 - Sailing World - Boat of the Year: Overall Winner</em>"".<br><br>Find out more about the <strong>Sun Fast 3300</strong> on Boat-Spec's blog: <a href=""https://www.boat-specs.com/blog/post/awards/8-european-yacht-nominees-2020"" title=""European Yacht of the Year 2020 nominated sailboats"">European Yacht of the Year 2020 nominated sailboats</a>.",Sun Fast 3300
https://www.boat-specs.com/sailing/sailboats/discovery-yachts-group/southerly-470,Southerly 470,Discovery Yachts Group,2017,Monohull,Offshore deck saloon cruising sailboat,United Kingdom,565 000,EUR,"The <strong>Southerly 470</strong> is a 47’4” cruising sailboat designed by <em>Stephen Jones Yacht Design</em> (United Kingdom). She was built between 2017 and 2019 by <em>Discovery Yachts Group</em> (United Kingdom).<br><br>The <strong>Southerly 470</strong> has also been marketed as <a href=""https://www.boat-specs.com/sailing/sailboats/northshore/southerly-47"" title=""Southerly 47"">Southerly 47</a>.",Southerly 470
https://www.boat-specs.com/sailing/sailboats/elan-yachts/elan-410-deep-draft,Elan 410,Elan Yachts,2007,Monohull,Offshore cruiser-racer sailboat,Slovenia,N/A,EUR,"The <strong>Elan 410</strong> is a 40’4” cruiser-racer sailboat designed by <em>Humphreys Yacht Design</em> (United Kingdom). She was built between 2007 and 2012 by <em>Elan Yachts</em> (Slovenia). The <em>Deep draft</em> version offers a deeper L-shaped keel bringing extra performance especially upwind.<br><br>The <strong>Elan 410</strong> is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/elan-yachts/elan-410-standard"" title=""Elan 410 Standard"">Standard</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=994&amp;boat%5B%5D=994a"" title=""see all the versions compared"">see all the versions compared</a>).",Elan 410 Deep draft
https://www.boat-specs.com/sailing/sailboats/discovery-yachts-group/southerly-540,Southerly 540,Discovery Yachts Group,2017,Monohull,Offshore deck saloon cruising sailboat,United Kingdom,940 000,EUR,"The <strong>Southerly 540</strong> is a 54’7” cruising sailboat designed by <em>Dubois Naval Architects</em> (United Kingdom). She was built between 2017 and 2020 by <em>Discovery Yachts Group</em> (United Kingdom). She&nbsp;has&nbsp;been&nbsp;awarded ""<em>2018 - Cruising World - Boat of the Year: Full-Size Cruiser 54 to 58 Feet</em>"".<br><br>The <strong>Southerly 540</strong> has also been marketed as <a href=""https://www.boat-specs.com/sailing/sailboats/northshore/southerly-535"" title=""Southerly 535"">Southerly 535</a>.",Southerly 540
https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-343-clipper-shoal-draft,Océanis 343 Clipper,Bénéteau,2004,Monohull,Cruising sailboat,France,N/A,EUR,"The <strong>Océanis 343 Clipper</strong> is a 34’1” cruising sailboat designed by <em>Berret Racoupeau Yachts Design</em> (France). She was built between 2004 and 2008 by <em>Bénéteau</em> (France). The <em>Shoal draft</em> version features a shorter keel to grant access to shallow areas.<br><br>The <strong>Océanis 343 Clipper</strong> has also been marketed as <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/beneteau-343-deep-draft"" title=""Bénéteau 343"">Bénéteau 343</a> and she is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-343-clipper-deep-draft"" title=""Océanis 343 Clipper Deep draft"">Deep draft</a> and <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-343-clipper-keel-and-centerboard"" title=""Océanis 343 Clipper Keel and centerboard"">Keel and centerboard</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=759&amp;boat%5B%5D=759a&amp;boat%5B%5D=759b"" title=""see all the versions compared"">see all the versions compared</a>).",Océanis 343 Clipper Shoal draft
https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-31-keel-and-centerboard,Océanis 31,Bénéteau,2007,Monohull,Cruising sailboat,France,78 000,EUR,"The <strong>Océanis 31</strong> is a 30’6” cruising sailboat designed by <em>Finot Conq Architectes</em> (France). She was built between 2007 and 2019 by <em>Bénéteau</em> (France). The <em>Keel and centerboard</em> version features a centerboard inside of a short fin-keel allowing shoal draft while maintaining upwind capabilities.<br><br>The <strong>Océanis 31</strong> has also been marketed as <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/beneteau-31-deep-draft"" title=""Bénéteau 31"">Bénéteau 31</a> and she is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-31-deep-draft"" title=""Océanis 31 Deep draft"">Deep draft</a> and <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-31-shoal-draft"" title=""Océanis 31 Shoal draft"">Shoal draft</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=646&amp;boat%5B%5D=646a&amp;boat%5B%5D=646b"" title=""see all the versions compared"">see all the versions compared</a>).",Océanis 31 Keel and centerboard
https://www.boat-specs.com/sailing/sailboats/beneteau/beneteau-323-shoal-draft,Bénéteau 323,Bénéteau,2003,Monohull,Cruising sailboat,France,N/A,EUR,"The <strong>Bénéteau 323</strong> is a 32’ cruising sailboat designed by <em>Finot Conq Architectes</em> (France). She was built between 2003 and 2007 by <em>Bénéteau</em> (France). The <em>Shoal draft</em> version features a shorter keel to grant access to shallow areas.<br><br>The <strong>Bénéteau 323</strong> has also been marketed as <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/oceanis-323-clipper-shoal-draft"" title=""Océanis 323 Clipper"">Océanis 323 Clipper</a> and she is as well listed, on Boat-Specs.com, in <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/beneteau-323-deep-draft"" title=""Bénéteau 323 Deep draft"">Deep draft</a> and <a href=""https://www.boat-specs.com/sailing/sailboats/beneteau/beneteau-323-keel-and-centerboard"" title=""Bénéteau 323 Keel and centerboard"">Keel and centerboard</a> version (<a href=""https://www.boat-specs.com/sailing/compare?boat%5B%5D=899&amp;boat%5B%5D=899a&amp;boat%5B%5D=899b"" title=""see all the versions compared"">see all the versions compared</a>).",Bénéteau 323 Shoal draft
